,week,road_team,home_team,road_pts,home_pts,final,winner
171,12,NO,DEN,0,0,False,
172,12,NYG,CIN,0,0,False,
173,12,SF,LAR,0,0,False,
174,12,SEA,PHI,0,0,False,
175,12,TEN,IND,0,0,False,
176,12,WSH,DAL,0,0,False,
177,13,BUF,SF,0,0,False,
178,13,CIN,MIA,0,0,False,
179,13,CLE,TEN,0,0,False,
180,13,DAL,BAL,0,0,False,
181,13,DEN,KC,0,0,False,
182,13,DET,CHI,0,0,False,
183,13,IND,HOU,0,0,False,
184,13,JAX,MIN,0,0,False,
185,13,LV,NYJ,0,0,False,
186,13,LAR,ARI,0,0,False,
187,13,NE,LAC,0,0,False,
188,13,NO,ATL,0,0,False,
189,13,NYG,SEA,0,0,False,
190,13,PHI,GB,0,0,False,
191,13,WSH,PIT,0,0,False,
192,14,ARI,NYG,0,0,False,
193,14,ATL,LAC,0,0,False,
194,14,BAL,CLE,0,0,False,
195,14,DAL,CIN,0,0,False,
196,14,DEN,CAR,0,0,False,
197,14,GB,DET,0,0,False,
198,14,HOU,CHI,0,0,False,
199,14,IND,LV,0,0,False,
200,14,KC,MIA,0,0,False,
201,14,MIN,TB,0,0,False,
202,14,NE,LAR,0,0,False,
203,14,NO,PHI,0,0,False,
204,14,NYJ,SEA,0,0,False,
205,14,PIT,BUF,0,0,False,
206,14,TEN,JAX,0,0,False,
207,14,WSH,SF,0,0,False,
208,15,BUF,DEN,0,0,False,
209,15,CAR,GB,0,0,False,
210,15,CHI,MIN,0,0,False,
211,15,CLE,NYG,0,0,False,
212,15,DET,TEN,0,0,False,
213,15,HOU,IND,0,0,False,
214,15,JAX,BAL,0,0,False,
215,15,KC,NO,0,0,False,
216,15,LAC,LV,0,0,False,
217,15,NE,MIA,0,0,False,
218,15,NYJ,LAR,0,0,False,
219,15,PHI,ARI,0,0,False,
220,15,PIT,CIN,0,0,False,
221,15,SF,DAL,0,0,False,
222,15,SEA,WSH,0,0,False,
223,15,TB,ATL,0,0,False,
224,16,ATL,KC,0,0,False,
225,16,BUF,NE,0,0,False,
226,16,CAR,WSH,0,0,False,
227,16,CHI,JAX,0,0,False,
228,16,CIN,HOU,0,0,False,
229,16,CLE,NYJ,0,0,False,
230,16,DEN,LAC,0,0,False,
231,16,IND,PIT,0,0,False,
232,16,LAR,SEA,0,0,False,
233,16,MIA,LV,0,0,False,
234,16,MIN,NO,0,0,False,
235,16,NYG,BAL,0,0,False,
236,16,PHI,DAL,0,0,False,
237,16,SF,ARI,0,0,False,
238,16,TB,DET,0,0,False,
239,16,TEN,GB,0,0,False,
240,17,ARI,LAR,0,0,False,
241,17,ATL,TB,0,0,False,
242,17,BAL,CIN,0,0,False,
243,17,DAL,NYG,0,0,False,
244,17,GB,CHI,0,0,False,
245,17,JAX,IND,0,0,False,
246,17,LV,DEN,0,0,False,
247,17,LAC,KC,0,0,False,
248,17,MIA,BUF,0,0,False,
249,17,MIN,DET,0,0,False,
250,17,NO,CAR,0,0,False,
251,17,NYJ,NE,0,0,False,
252,17,PIT,CLE,0,0,False,
253,17,SEA,SF,0,0,False,
254,17,TEN,HOU,0,0,False,
255,17,WSH,PHI,0,0,False,
