:%s/<Ctrl-V><Ctrl-M>/\r/g
game_id,week,road_team,home_team,game_date,game_time,road_pts,home_pts,final,winner
103,7,NYG,PHI,2000-01-01,23:59,0,0,0,""
104,7,PIT,BAL,2000-01-01,23:59,0,0,0,""
105,7,SF,NE,2000-01-01,23:59,0,0,0,""
106,7,SEA,ARI,2000-01-01,23:59,0,0,0,""
107,7,TB,LV,2000-01-01,23:59,0,0,0,""
108,8,ATL,CAR,2000-01-01,23:59,0,0,0,""
109,8,DAL,PHI,2000-01-01,23:59,0,0,0,""
110,8,IND,DET,2000-01-01,23:59,0,0,0,""
111,8,JAX,LAC,2000-01-01,23:59,0,0,0,""
112,8,LV,CLE,2000-01-01,23:59,0,0,0,""
113,8,LAR,MIA,2000-01-01,23:59,0,0,0,""
114,8,MIN,GB,2000-01-01,23:59,0,0,0,""
115,8,NE,BUF,2000-01-01,23:59,0,0,0,""
116,8,NO,CHI,2000-01-01,23:59,0,0,0,""
117,8,NYJ,KC,2000-01-01,23:59,0,0,0,""
118,8,SF,SEA,2000-01-01,23:59,0,0,0,""
119,8,TB,NYG,2000-01-01,23:59,0,0,0,""
120,8,TEN,CIN,2000-01-01,23:59,0,0,0,""
121,9,BAL,IND,2000-01-01,23:59,0,0,0,""
122,9,CAR,KC,2000-01-01,23:59,0,0,0,""
123,9,CHI,TEN,2000-01-01,23:59,0,0,0,""
124,9,DEN,ATL,2000-01-01,23:59,0,0,0,""
125,9,DET,MIN,2000-01-01,23:59,0,0,0,""
126,9,GB,SF,2000-01-01,23:59,0,0,0,""
127,9,HOU,JAX,2000-01-01,23:59,0,0,0,""
128,9,LV,LAC,2000-01-01,23:59,0,0,0,""
129,9,MIA,ARI,2000-01-01,23:59,0,0,0,""
130,9,NE,NYJ,2000-01-01,23:59,0,0,0,""
131,9,NO,TB,2000-01-01,23:59,0,0,0,""
132,9,NYG,WSH,2000-01-01,23:59,0,0,0,""
133,9,PIT,DAL,2000-01-01,23:59,0,0,0,""
134,9,SEA,BUF,2000-01-01,23:59,0,0,0,""
135,10,BAL,NE,2000-01-01,23:59,0,0,0,""
136,10,BUF,ARI,2000-01-01,23:59,0,0,0,""
137,10,CIN,PIT,2000-01-01,23:59,0,0,0,""
138,10,DEN,LV,2000-01-01,23:59,0,0,0,""
139,10,HOU,CLE,2000-01-01,23:59,0,0,0,""
140,10,IND,TEN,2000-01-01,23:59,0,0,0,""
141,10,JAX,GB,2000-01-01,23:59,0,0,0,""
142,10,MIN,CHI,2000-01-01,23:59,0,0,0,""
143,10,NYJ,MIA,2000-01-01,23:59,0,0,0,""
144,10,PHI,NYG,2000-01-01,23:59,0,0,0,""
145,10,SF,NO,2000-01-01,23:59,0,0,0,""
146,10,SEA,LAR,2000-01-01,23:59,0,0,0,""
147,10,TB,CAR,2000-01-01,23:59,0,0,0,""
148,10,WSH,DET,2000-01-01,23:59,0,0,0,""
149,11,ARI,SEA,2000-01-01,23:59,0,0,0,""
150,11,ATL,NO,2000-01-01,23:59,0,0,0,""
151,11,CIN,WSH,2000-01-01,23:59,0,0,0,""
152,11,DAL,MIN,2000-01-01,23:59,0,0,0,""
153,11,DET,CAR,2000-01-01,23:59,0,0,0,""
154,11,GB,IND,2000-01-01,23:59,0,0,0,""
155,11,KC,LV,2000-01-01,23:59,0,0,0,""
156,11,LAR,TB,2000-01-01,23:59,0,0,0,""
157,11,LAC,DEN,2000-01-01,23:59,0,0,0,""
158,11,NE,HOU,2000-01-01,23:59,0,0,0,""
159,11,PHI,CLE,2000-01-01,23:59,0,0,0,""
160,11,PIT,JAX,2000-01-01,23:59,0,0,0,""
161,11,TEN,BAL,2000-01-01,23:59,0,0,0,""
162,12,ARI,NE,2000-01-01,23:59,0,0,0,""
163,12,BAL,PIT,2000-01-01,23:59,0,0,0,""
164,12,CAR,MIN,2000-01-01,23:59,0,0,0,""
165,12,CHI,GB,2000-01-01,23:59,0,0,0,""
166,12,CLE,JAX,2000-01-01,23:59,0,0,0,""
167,12,HOU,DET,2000-01-01,23:59,0,0,0,""
168,12,KC,TB,2000-01-01,23:59,0,0,0,""
169,12,LV,ATL,2000-01-01,23:59,0,0,0,""
170,12,LAC,BUF,2000-01-01,23:59,0,0,0,""
171,12,MIA,NYJ,2000-01-01,23:59,0,0,0,""
172,12,NO,DEN,2000-01-01,23:59,0,0,0,""
173,12,NYG,CIN,2000-01-01,23:59,0,0,0,""
174,12,SF,LAR,2000-01-01,23:59,0,0,0,""
175,12,SEA,PHI,2000-01-01,23:59,0,0,0,""
176,12,TEN,IND,2000-01-01,23:59,0,0,0,""
177,12,WSH,DAL,2000-01-01,23:59,0,0,0,""
178,13,BUF,SF,2000-01-01,23:59,0,0,0,""
179,13,CIN,MIA,2000-01-01,23:59,0,0,0,""
180,13,CLE,TEN,2000-01-01,23:59,0,0,0,""
181,13,DAL,BAL,2000-01-01,23:59,0,0,0,""
182,13,DEN,KC,2000-01-01,23:59,0,0,0,""
183,13,DET,CHI,2000-01-01,23:59,0,0,0,""
184,13,IND,HOU,2000-01-01,23:59,0,0,0,""
185,13,JAX,MIN,2000-01-01,23:59,0,0,0,""
186,13,LV,NYJ,2000-01-01,23:59,0,0,0,""
